"","CustomerId","Large","Medium","Small","VLarge","VMedium","VSmall","HightRisk","LowRisk","MediumRisk"
"1",23,1,0,0,1196.99997,0,0,0,1,0
"2",34,1,0,0,715.50003,0,0,0,1,0
"3",38,1,0,0,584.65,0,0,0,1,0
"4",40,1,0,0,768.5,0,0,0,1,0
"5",41,1,0,0,1075.9,0,0,0,1,0
"6",43,1,0,0,224.850005,0,0,0,1,0
"7",45,0,1,0,0,881.25,0,0,0,1
"8",47,1,0,0,615.2,0,0,0,1,0
"9",52,0,1,0,0,439.00002,0,0,0,1
"10",54,1,0,0,117.6,0,0,0,1,0
"11",66,0,1,0,0,251,0,0,0,1
"12",70,0,1,0,0,705,0,0,0,1
"13",71,1,0,0,869.70001,0,0,0,1,0
"14",74,1,0,0,1126.20003,0,0,0,1,0
"15",78,0,1,0,0,768.75,0,0,0,1
"16",81,1,0,0,768.5,0,0,0,1,0
"17",82,1,0,0,180.8,0,0,0,1,0
"18",84,1,0,0,685.50003,0,0,0,1,0
"19",85,1,0,0,264.750005,0,0,0,1,0
"20",87,1,0,0,6761.40015,0,0,0,1,0
"21",89,1,0,0,4780,0,0,0,1,0
"22",91,1,0,0,529.50001,0,0,0,1,0
"23",94,1,0,0,914.550015,0,0,0,1,0
"24",98,1,1,0,307.4,187.250005,0,0,0.621449503472662,0.378550496527338
"25",100,1,0,0,389.85,0,0,0,1,0
"26",102,1,1,0,365.44998,1537.5,0,0,0.192043923298499,0.807956076701501
"27",103,1,1,0,649.75,749.00002,0,0,0.464521887906747,0.535478112093253
"28",107,1,0,0,529.50001,0,0,0,1,0
"29",108,1,1,0,15814.39941,805,0,0,0.951562629903724,0.0484373700962759
"30",110,2,0,0,5490.850055,0,0,0,1,0
"31",113,1,0,0,2145.9999,0,0,0,1,0
"32",115,1,0,0,794.250015,0,0,0,1,0
"33",118,1,1,0,2338.6,317,0,0,0.880629612893508,0.119370387106492
"34",119,0,1,0,0,187.250005,0,0,0,1
"35",121,1,0,0,723.2,0,0,0,1,0
"36",122,1,1,0,3862.600035,181.049995,0,0,0.955226096804426,0.044773903195574
"37",124,1,0,0,307.4,0,0,0,1,0
"38",126,2,0,0,2837.699985,0,0,0,1,0
"39",127,3,1,0,1154.649965,1408.75,0,0,0.45043691221241,0.54956308778759
"40",128,2,0,0,1048.2,0,0,0,1,0
"41",129,1,1,0,117.6,936.250025,0,0,0.111590830962878,0.888409169037122
"42",131,1,1,0,23721.599115,158.5,0,0,0.99336267411468,0.00663732588532014
"43",132,0,1,0,0,1006.25,0,0,0,1
"44",133,1,0,0,4365,0,0,0,1,0
"45",136,1,0,0,2575.19988,0,0,0,1,0
"46",137,1,0,0,1230.4,0,0,0,1,0
"47",138,1,0,0,235.2,0,0,0,1,0
"48",139,1,0,0,2182.5,0,0,0,1,0
"49",141,1,0,0,375.40001,0,0,0,1,0
"50",142,1,0,0,992.099985,0,0,0,1,0
"51",143,2,0,0,6633.00018,0,0,0,1,0
"52",144,1,1,0,817.949985,881.25,0,0,0.481373582992352,0.518626417007648
"53",145,1,0,0,3585,0,0,0,1,0
"54",146,1,1,0,10896.80052,835.4,0,0,0.92879426169235,0.0712057383076504
"55",147,0,1,0,0,1025,0,0,0,1
"56",148,1,0,0,2181.19996,0,0,0,1,0
"57",149,1,1,0,1214.99995,1025,0,0,0.542410704071667,0.457589295928333
"58",150,2,0,0,1526.5,0,0,0,1,0
"59",151,2,0,0,3661.6,0,0,0,1,0
"60",153,2,2,0,21418.949585,747.5,0,0,0.966277865242532,0.0337221347574684
"61",154,0,1,0,0,782.7,0,0,0,1
"62",156,1,0,0,2450.99991,0,0,0,1,0
"63",158,2,0,0,2521.49997,0,0,0,1,0
"64",160,1,1,0,1713.750075,362.09999,0,0,0.825565441307535,0.174434558692465
"65",161,1,0,0,817.949985,0,0,0,1,0
"66",162,3,0,0,3624.750015,0,0,0,1,0
"67",163,2,0,0,1455.650005,0,0,0,1,0
"68",165,1,1,0,3478.80004,933,0,0,0.788521693743853,0.211478306256147
"69",166,2,1,0,5256.39985,362.09999,0,0,0.935552193590523,0.0644478064094775
"70",168,1,0,0,661.39999,0,0,0,1,0
"71",169,1,0,0,491.100005,0,0,0,1,0
"72",170,1,0,0,23721.599115,0,0,0,1,0
"73",171,3,0,0,40579.948565,0,0,0,1,0
"74",173,1,0,0,922.8,0,0,0,1,0
"75",174,1,0,0,352.8,0,0,0,1,0
"76",175,0,2,0,0,626.250025,0,0,0,1
"77",176,1,0,0,1362.100065,0,0,0,1,0
"78",177,0,1,0,0,181.049995,0,0,0,1
"79",179,0,2,0,0,1393.999985,0,0,0,1
"80",180,1,0,0,869.70001,0,0,0,1,0
"81",181,2,0,0,3521.749985,0,0,0,1,0
"82",183,1,0,0,3862.600035,0,0,0,1,0
"83",184,1,1,0,361.6,374.50001,0,0,0.491237596912952,0.508762403087048
"84",186,1,1,0,1075.35003,46.5,0,0,0.958550609478524,0.0414493905214764
"85",187,2,0,0,3602.7,0,0,0,1,0
"86",188,1,1,0,904,1793.75,0,0,0.335094059864702,0.664905940135298
"87",189,2,0,0,2112.850005,0,0,0,1,0
"88",191,3,0,0,4218.050065,0,0,0,1,0
"89",193,1,0,0,2182.5,0,0,0,1,0
"90",194,3,1,0,8115.800015,1006.25,0,0,0.889690365833847,0.110309634166153
"91",195,1,0,0,800.650025,0,0,0,1,0
"92",196,2,0,0,9112.299645,0,0,0,1,0
"93",198,2,0,0,2298.350065,0,0,0,1,0
"94",199,2,0,0,6449.50007,0,0,0,1,0
"95",200,1,0,0,2145.9999,0,0,0,1,0
"96",201,1,1,0,264.750005,1536.50007,0,0,0.146981259667678,0.853018740332322
"97",202,1,0,0,542.4,0,0,0,1,0
"98",203,2,2,0,2361.700025,890.84999,0,0,0.726107212528137,0.273892787471863
"99",204,0,1,0,0,521.8,0,0,0,1
"100",205,1,0,0,2338.6,0,0,0,1,0
"101",206,4,0,0,5436.500085,0,0,0,1,0
"102",208,0,1,0,0,1025,0,0,0,1
"103",209,2,0,0,24539.5491,0,0,0,1,0
"104",210,2,0,0,2561,0,0,0,1,0
"105",212,2,1,0,2752.44995,1536.50007,0,0,0.641753794556925,0.358246205443075
"106",213,0,1,0,0,219.50001,0,0,0,1
"107",214,1,2,0,1433.80004,1281.749975,0,0,0.527996182018397,0.472003817981603
"108",215,1,1,0,649.75,79.25,0,0,0.891289437585734,0.108710562414266
"109",216,0,1,1,0,219.50001,4122.99995,0.949453077254605,0,0.0505469227453948
"110",217,1,1,0,3642.45,1057.5,0,0,0.774997606357514,0.225002393642486
"111",218,0,1,0,0,79.25,0,0,0,1
"112",219,1,2,0,5448.40026,521.75,0,0,0.912606889730109,0.0873931102698913
"113",220,2,1,0,4754.19998,1019.499975,0,0,0.823423457584228,0.176576542415772
"114",222,1,0,1,914.550015,0,3298.39996,0.782919327210858,0.217080672789142,0
