"","CustomerId","StockName","TotalShares","Close","Date","class","value"
"1",4046,"AMP",20,114.879997,"2017-01-26","L",2297.59994
"2",4046,"CF",35,36.209999,"2017-01-26","M",1267.349965
"3",4046,"CFG",15,37.540001,"2017-01-26","L",563.100015
"4",4046,"CSCO",10,30.74,"2017-01-26","L",307.4
"5",4046,"EQR",20,61.52,"2017-01-26","L",1230.4
"6",4046,"HRL",10,36.16,"2017-01-26","L",361.6
"7",4046,"ILMN",30,160.130005,"2017-01-26","L",4803.90015
"8",4046,"NWS",20,12.55,"2017-01-26","M",251
"9",4046,"OXY",15,68.550003,"2017-01-26","L",1028.250045
"10",4046,"PBI",50,15.85,"2017-01-26","M",792.5
"11",4046,"PSA",5,218.25,"2017-01-26","L",1091.25
"12",4046,"PWR",10,37.450001,"2017-01-26","M",374.50001
"13",4046,"STX",20,43.900002,"2017-01-26","M",878.00004
"14",4046,"TSS",10,51.25,"2017-01-26","M",512.5
"15",4046,"ULTA",5,272.420013,"2017-01-26","L",1362.100065
"16",4861,"BRK-B",50,164.919998,"2017-01-26","T",8245.9999
"17",4861,"CAH",30,73.089996,"2017-01-26","L",2192.69988
"18",4861,"CSX",5,48.599998,"2017-01-26","L",242.99999
"19",4861,"ESS",5,225.380005,"2017-01-26","L",1126.900025
"20",4861,"KIM",15,25.08,"2017-01-26","L",376.2
"21",4861,"MUR",10,31.1,"2017-01-26","M",311
"22",4861,"NWS",20,12.55,"2017-01-26","M",251
"23",4861,"OXY",15,68.550003,"2017-01-26","L",1028.250045
"24",4861,"PBI",15,15.85,"2017-01-26","M",237.75
"25",4861,"USB",5,52.950001,"2017-01-26","L",264.750005
"26",4631,"AMP",15,114.879997,"2017-01-26","L",1723.199955
"27",4631,"CHRW",20,75.75,"2017-01-26","L",1515
"28",4631,"DG",25,71.690002,"2017-01-26","L",1792.25005
"29",4631,"EA",30,81.699997,"2017-01-26","L",2450.99991
"30",4631,"EQR",5,61.52,"2017-01-26","L",307.6
"31",4631,"FTI",10,35.25,"2017-01-26","M",352.5
"32",4631,"HRL",60,36.16,"2017-01-26","L",2169.6
"33",4631,"IFF",35,119.699997,"2017-01-26","L",4189.499895
"34",4631,"MAR",25,85.839996,"2017-01-26","L",2145.9999
"35",4631,"MU",30,23.52,"2017-01-26","L",705.6
"36",4631,"MUR",5,31.1,"2017-01-26","M",155.5
"37",4631,"PCLN",25,1581.439941,"2017-01-26","L",39535.998525
"38",4631,"PSA",20,218.25,"2017-01-26","L",4365
"39",2533,"AMP",35,114.879997,"2017-01-26","L",4020.799895
"40",2533,"CFG",10,37.540001,"2017-01-26","L",375.40001
"41",2533,"EQR",40,61.52,"2017-01-26","L",2460.8
"42",2533,"HRL",20,36.16,"2017-01-26","L",723.2
"43",2533,"MAR",20,85.839996,"2017-01-26","L",1716.79992
"44",2533,"MU",30,23.52,"2017-01-26","L",705.6
"45",2533,"MUR",5,31.1,"2017-01-26","M",155.5
"46",2533,"OXY",10,68.550003,"2017-01-26","L",685.50003
"47",2533,"PBI",35,15.85,"2017-01-26","M",554.75
"48",2533,"PDCO",20,41.77,"2017-01-26","M",835.4
"49",2533,"PWR",35,37.450001,"2017-01-26","M",1310.750035
"50",2533,"SPLS",25,9.3,"2017-01-26","M",232.5
"51",2533,"TSS",10,51.25,"2017-01-26","M",512.5
"52",2533,"UPS",15,116.93,"2017-01-26","L",1753.95
